id,name,link,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18
0,Jordan 13 Retro Playoffs (2023),https://stockx.com/fr-fr/air-jordan-13-retro-playoffs-2023,"[35, 272, 3]","[90, 272, 7]","[87, 264, 7]","[87, 260, 8]","[35, 260, 5]","[103, 311, 10]","[129, 334, 11]","[164, 252, 76]","[172, 213, 51]","[176, 256, 125]","[176, 258, 111]","[168, 252, 110]","[185, 270, 141]","[190, 271, 218]","[185, 264, 165]","[188, 263, 217]","[219, 258, 116]","[238, 254, 193]","[238, 299, 105]","[247, 272, 118]",,"[220, 305, 84]",,"[185, 297, 26]",,"[78, 263, 28]",,"[103, 283, 14]",,"[35, 247, 16]"
1,Nike Dunk Low Retro PRM Valentine's Day (2023),https://stockx.com/fr-fr/nike-dunk-low-valentines-day-2023,"[134, 170, 31]","[133, 160, 48]","[133, 177, 55]","[149, 167, 57]","[161, 206, 37]","[147, 162, 111]","[152, 184, 72]","[139, 157, 82]","[131, 150, 110]","[129, 145, 237]","[126, 139, 198]","[123, 142, 235]","[128, 141, 214]","[123, 138, 260]","[120, 139, 195]","[133, 150, 243]","[138, 150, 125]","[125, 140, 206]","[133, 163, 47]","[121, 142, 135]","[157, 305, 2]","[136, 166, 25]",,"[143, 173, 22]",,,,,,
2,Puma LaMelo Ball MB.02 Rick & Morty Adventures,https://stockx.com/fr-fr/puma-lamelo-ball-mb02-rick-and-morty-adventures,,"[83, 228, 12]","[69, 212, 13]","[114, 212, 15]","[147, 220, 16]","[144, 231, 11]","[123, 225, 16]","[152, 199, 54]","[114, 178, 21]","[123, 167, 35]","[113, 177, 66]","[127, 184, 53]","[161, 178, 52]","[123, 172, 77]","[123, 173, 71]","[142, 158, 131]","[150, 177, 66]","[151, 180, 90]","[129, 227, 3]","[132, 177, 65]",,"[133, 187, 28]",,"[147, 186, 12]",,"[34, 315, 3]",,"[73, None, 0]",,"[17, 368, 1]"
3,Jordan 1 Retro High 85 Black White (2023),https://stockx.com/fr-fr/air-jordan-1-retro-high-85-black-white-2023,"[251, 333, 4]","[263, 347, 23]","[271, 325, 21]","[266, 307, 29]","[256, 285, 38]","[250, 307, 29]","[276, 314, 44]","[246, 282, 59]","[256, 275, 63]","[250, 279, 96]","[259, 282, 130]","[262, 297, 182]","[264, 298, 206]","[288, 305, 158]","[282, 319, 139]","[287, 309, 132]","[310, 340, 41]","[301, 344, 107]","[293, 347, 18]","[284, 321, 68]",,"[353, 409, 30]",,"[215, 315, 17]",,"[203, 388, 7]",,"[163, 324, 7]",,"[219, 566, 6]"
4,New Balance 991 MiUK JJJJound Grey Olive,https://stockx.com/fr-fr/new-balance-991-miuk-jjjjound-grey-olive,,"[284, 499, 5]","[315, 532, 8]","[321, 494, 3]","[321, 509, 8]","[330, 643, 2]","[328, 582, 7]","[361, 494, 16]","[389, 525, 16]","[412, 488, 20]","[443, 474, 37]","[456, 510, 66]","[453, 541, 61]","[432, 469, 61]","[407, 447, 46]","[383, 420, 50]","[376, 451, 45]","[352, 466, 32]","[262, None, 0]","[352, 492, 24]",,"[400, 740, 3]",,"[301, 844, 2]",,,,,,
5,New Balance 574 Legacy Stone Island Steel Blue,https://stockx.com/fr-fr/new-balance-574-legacy-stone-island-steel-blue,,"[351, 453, 11]","[172, 369, 7]","[216, 468, 10]","[194, 487, 9]","[204, 473, 12]","[333, 364, 6]","[217, 316, 13]","[241, 273, 21]","[261, 302, 24]","[237, 284, 31]","[244, 286, 46]","[276, 301, 33]","[247, 308, 34]","[240, 263, 41]","[225, 266, 29]","[219, 262, 32]","[238, 286, 31]","[228, 464, 2]","[232, 314, 10]",,"[285, 388, 6]",,"[190, 312, 5]",,"[21, None, 0]",,,,
6,Nike Dunk Low Retro White Black Panda (2021),https://stockx.com/fr-fr/nike-dunk-low-retro-white-black-2021,"[112, None, 0]","[125, None, 0]","[168, None, 0]","[138, 429, 4]","[156, 876, 1]","[129, 157, 67]","[119, 159, 87]","[123, 155, 153]","[133, 153, 170]","[136, 154, 306]","[133, 148, 314]","[134, 154, 440]","[135, 159, 496]","[134, 150, 469]","[136, 158, 348]","[138, 153, 351]","[139, 157, 215]","[142, 158, 290]","[143, 168, 82]","[147, 169, 185]",,"[146, 180, 54]",,"[129, 168, 45]",,,,,,
